시트,포멧타입,순서,명칭,테이블명,컬럼명,그룹순서,연관자,사용여부
SHEET1,E01001,76,물성분류(3),CB_PROPERTY,PROPERTY_CD,3,P01,N
SHEET1,E01001,77,물성명(국문)(3),CB_PROPERTY,PRO_NM_ID,3,ISOD,N
SHEET1,E01001,78,평균값(3),CB_PROPERTY,AVG_VAL,3,,N
SHEET1,E01001,79,최대값(3),CB_PROPERTY,MAX_VAL,3,,N
SHEET1,E01001,80,최소값(3),CB_PROPERTY,MIN_VAL,3,,N
SHEET1,E01001,81,오차범위(3),CB_PROPERTY,ERR_VAL,3,,N
SHEET1,E01001,82,측정조건(Text)(3),CB_PROPERTY,MEA_CONDITION,3,,N
SHEET1,E01001,83,측정방법(3),CB_PROPERTY,MEA_KNM,3,,N
SHEET1,E01001,84,측정장비(3),CB_PROPERTY,EQUIP_ID,3,CB_EQUIPMENT,N
SHEET1,E01001,85,샘플타입(3),CB_SPECIMEN,SPM_TYPE,3,,N
SHEET1,E01001,86,샘플형상(3),CB_SPECIMEN,SPM_SHAPE,3,,N
SHEET1,E01001,87,샘플표본수(3),CB_SPECIMEN,SPM_NB,3,,N
SHEET1,E01001,88,샘플치수(3),CB_SPECIMEN,SPM_DIMENSION,3,,N
SHEET1,E01001,89,측정변수명(3),CB_PRO_VARIABLE,VARIABLE_NM,3,,N
SHEET1,E01001,1,정보신뢰도,CB_MATERIAL,INFORMATION_CD,,I01,N
SHEET1,E01001,2,보안레벨,CB_MATERIAL,SECRECY_LV,,INFOGRADE,N
SHEET1,E01001,3,소재명(국문),CB_MATERIAL,MAT_NM_ID,,ISOM,N
SHEET1,E01001,4,소재코드,CB_MATERIAL,MAT_CD,,ISOC,N
SHEET1,E01001,5,출발물질,CB_MATERIAL,MAT_SOURCE,,,N
SHEET1,E01001,6,소재일련번호,CB_MATERIAL,MAT_SERIAL,,,N
SHEET1,E01001,7,생성자,CB_MATERIAL,CREATE_ID,,,N
